Merchantnumber,recency,frequency,monetary_value
62006362003189,28,2,5001004
62006362003195,13,388,95548504
62006362003198,16,26,17471004
62006362003204,3,71,20819004
62006362003218,0,47,10915009
62006362003223,0,31,25662008
62006362003230,13,1,1004
62006362003243,0,898,59554371
62006362003271,0,64,67186004
62006362003318,0,550,157954798
62006362003327,0,115,63551004
62006362003329,1,23,124201004
62006362003335,21,1,1004
62006362003381,0,85,77534558
62006362003384,0,80,19571004
62006362003399,0,172,34326004
62006362003400,0,104,132047173
62006362003402,0,52,193431004
62006362003428,0,24,106886004
62006362003449,0,20,16001004
62006362003460,9,11,9951004
62006362003473,0,319,3911333314
62006362003481,0,6,317171004
62006362003484,3,12,2851004
62006362003495,0,29,1140405020
62006362003500,0,116,52015020
62006362003504,19,2,11004
62006362003511,0,30,8461004
62006362003512,0,53,31721004
62006362003515,2,16,81684016
62006362003516,1,17,118176004
62006362003525,19,2,2008
62006362003527,0,3,3013
62006362003533,0,76,43061637
62006362003535,0,29,85191004
62006362003540,3,21,608199798
62006362003543,4,7,1391811
62006362003544,0,3,241004
62006362003552,18,9,827401004
62006362003562,0,1,1004
62006362003576,0,54,17926004
62006362003597,6,3,143601004
62006362003601,0,233,403261004
62006362003602,1,1,1004
62006362003611,0,27,2830004
62006362003617,11,5,1271004
62006362003627,0,358,54555004
62006362003639,0,59,36741004
62006362003642,3,12,1201004
62006362003652,8,28,27501004
62006362003656,0,1,1004
62006362003657,0,250,640763004
62006362003663,0,4,300001004
62006362003666,4,2,2004
62006362003669,3,56,19534017
62006362003683,0,56,4177009
62006362003686,0,33,20391004
62006362003690,0,194,73241004
62006362003692,0,24,2397754
62006362003707,0,126,67821004
62006362003709,4,1,1004
62006362003710,28,1,1004
62006362003713,2,95,21023013
62006362003718,0,794,329935004
62006362003749,0,113,36066004
62006362003750,3,3,90001004
62006362003793,3,11,2231004
62006362003795,1,100,566131004
62006362003802,0,215,1470221004
62006362003807,1,392,235340604
62006362003810,2,2,2501004
62006362003813,20,1,1004
62006362003818,1,13,72102004
62006362003827,5,16,24301004
62006362003832,0,32,9341004
62006362003837,6,12,2851004
62006362003846,4,3,40101004
62006362003853,0,160,165821004
62006362003878,0,79,72480000
62006362003879,2,11,10131004
62006362003891,0,24,28381004
62006362003895,1,3,46004
62006362003896,0,62,120491004
62006362003904,0,650,182003013
62006362003908,1,13,5641004
62006362003910,26,1,1004
62006362003920,0,156,45781004
62006362003929,14,3,74381004
62006362003930,2,55,36571004
62006362003932,0,64,14982004
62006362003933,1,150,65861004
62006362003934,0,28,3741004
62006362003938,0,108,65796004
62006362003942,0,213,329577436
62006362003949,3,33,146771004
62006362003960,0,169,757720000
62006362003970,0,611,114933004
62006362003986,10,24,32481004
62006362003993,1,7,114501004
62006362003994,6,5,2000001004
62006362003998,0,79,217921004
62006362004000,5,1,1004
62006362004008,4,102,107643013
62006362004019,0,95,770204008
62006362004032,0,1,1004
62006362004033,12,1,1004
62006362004040,4,6,106016008
62006362004041,1,52,307651004
62006362004053,24,2,3001004
62006362004056,0,98,348810004
62006362004058,0,423,948203013
62006362004067,26,1,1004
62006362004086,1,86,48757013
62006362004087,0,66,144151004
62006362004093,14,59,40866004
62006362004114,14,6,1578004
62006362004119,0,154,66064504
62006362004138,0,68,15723008
62006362004148,1,122,48696004
62006362004160,0,170,30269504
62006362004173,4,2,161004
62006362004174,0,295,100601004
62006362004177,0,218,104861009
62006362004191,0,4,72351004
62006362004192,0,258,84561004
62006362004209,19,5,961004
62006362004211,27,2,44004
62006362004224,0,28,53446004
62006362004233,0,59,115201004
62006362004237,7,21,2761004
62006362004247,1,3,1851004
62006362004248,0,47,33177504
62006362004252,6,6,34379762
62006362004254,3,38,67771004
62006362004256,25,1,1004
62006362004258,0,332,27917004
62006362004262,24,1,1004
62006362004270,0,14,2296004
62006362004275,1,2,11004
62006362004287,0,169,34959004
62006362004288,0,45,33271004
62006362004296,0,116,52776004
