Merchantnumber,recency,frequency,monetary_value
062006362002624,1,19,471883012
062006362002629,1,538,1603667590
062006362002630,28,3,3012
062006362002640,25,33,16697024
062006362002647,8,11,85158012
062006362002656,4,4,4019
062006362002681,3,61,91138032
062006362002683,4,78,915355416
062006362002687,11,6,107003012
062006362002690,82,9,35201004
062006362002691,3,217,3451403008
062006362002694,7,119,105249036
062006362002696,19,7,155021
062006362002710,1,254,391369036
062006362002721,5,80,159155016
062006362002730,1,901,1142313012
062006362002733,17,21,4613012
062006362002744,1,147,41111512
062006362002751,25,6,5423012
062006362002765,1,509,62428012
062006362002774,1,330,496624017
062006362002782,6,18,4943012
062006362002783,2,29,439459012
062006362002786,1,235,247938012
062006362002788,1,316,487480021
062006362002806,3,154,13637008
062006362002812,9,1,1004
062006362002813,1,58,374570390
062006362002815,3,123,144543012
062006362002817,3,55,11668012
062006362002818,2,87,280391477
062006362002819,15,75,8197012
062006362002830,4,164,78137904
062006362002831,4,18,19833012
062006362002833,3,161,3427736012
062006362002834,5,14,11331000
062006362002840,3,161,21884012
062006362002841,4,17,41643012
062006362002846,19,81,100632817
062006362002847,1,10702,2479363515
062006362002849,60,3,3012
062006362002854,1,90,84093012
062006362002872,2,88,78673012
062006362002882,4,106,139335012
062006362002885,1,34,24014016
062006362002889,3,61,25713012
062006362002903,7,11,309036
062006362002909,2,205,126708012
062006362002911,5,69,398323012
062006362002920,1,21,844889036
062006362002924,1,396,1516923242
062006362002927,25,1,1004
062006362002930,7,44,838652008
062006362002942,2,54,13256004
062006362002947,1,38,42764022
062006362002950,1,281,508744008
062006362002961,3,16,88708012
062006362002962,2,13,22800000
062006362002965,25,207,65940012
062006362002979,10,104,171934014
062006362002998,1,353,654144012
062006362003007,3,218,713557504
062006362003010,17,123,546472012
062006362003027,1,199,259365521
062006362003031,2,154,407275017
062006362003038,1,212,7080021
062006362003052,1,453,64813012
062006362003054,1,373,894576021
062006362003056,1,2009,3169078110
062006362003068,1,2333,144239022
062006362003072,1,1140,62840262
062006362003101,1,253,168824022
062006362003102,5,48,449375020
062006362003106,1,362,164973012
062006362003111,1,206,45715512
062006362003112,2,1,70000
062006362003126,44,220,1278582008
062006362003127,2,787,66980512
062006362003128,1,124,901542012
062006362003129,1,253,5605239512
062006362003139,1,188,36582512
062006362003143,1,448,128734512
062006362003156,2,33,10556226
062006362003157,1,316,109204016
062006362003169,1,73,231863012
062006362003170,3,96,9623012
062006362003182,15,3,3012
062006362003189,29,7,6003012
062006362003195,4,550,129916512
062006362003198,17,35,127473012
062006362003204,1,182,42388012
062006362003218,1,159,30877017
062006362003223,1,122,115535020
062006362003230,17,10,93012
062006362003243,1,2417,158473534
062006362003271,1,249,303798012
062006362003318,1,1743,559320806
062006362003327,1,323,169063012
062006362003329,3,103,545334012
062006362003335,15,5,5020
062006362003381,3,297,491011066
062006362003384,1,220,50918012
062006362003399,1,505,187082296
062006362003400,1,289,423181733
062006362003402,3,127,440635021
062006362003428,1,65,358338012
062006362003449,1,96,91773012
062006362003460,1,29,19853012
062006362003473,29,594,6005417322
062006362003481,1,34,623795060
062006362003484,17,56,17513012
062006362003495,1,117,5993082616
062006362003500,1,342,190214036
062006362003504,12,27,162896
062006362003511,1,106,30104012
062006362003512,1,150,83463012
062006362003515,2,37,88019036
062006362003516,4,56,454194012
062006362003525,21,6,5020
062006362003527,3,44,3472521
062006362003533,1,267,93892896
062006362003535,1,103,232533012
062006362003540,4,127,2613801806
062006362003543,14,51,10645407
062006362003544,4,30,2943012
062006362003552,19,31,1437403012
062006362003562,1,4,4019
062006362003576,1,131,94559017
062006362003597,3,28,152463012
062006362003601,7,613,1226246026
062006362003602,1,37,610204017
062006362003611,3,68,7636012
062006362003617,3,18,16503012
062006362003627,1,1189,212653012
062006362003639,2,260,163503012
062006362003642,4,33,27613012
062006362003652,2,117,91225016
062006362003656,3,4,4016
062006362003657,1,749,1646216012
062006362003663,4,10,501004012
062006362003666,31,10,2834512
062006362003669,2,153,204697025
062006362003683,1,239,104766027
062006362003686,1,104,58833012
062006362003690,5,637,184708012
062006362003692,5,50,4400762
062006362003707,1,406,204242012
062006362003709,9,3,3012
062006362003710,60,4,4016
062006362003713,3,445,218500021
062006362003718,1,1824,756437012
062006362003749,9,662,166748012
062006362003750,15,20,243003012
062006362003793,4,27,7143012
062006362003795,12,111,657784012
062006362003802,1,529,2845742012
062006362003807,1,893,432035090
062006362003810,4,15,100353012
062006362003813,8,9,253012
062006362003818,3,54,543974012
062006362003827,5,71,70419012
062006362003832,2,71,50733012
062006362003837,14,207,97073012
062006362003846,17,23,2757704016
062006362003853,1,604,572147137
062006362003878,1,336,262031004
062006362003879,2,78,90983012
062006362003891,1,79,70173012
062006362003895,3,16,794012
062006362003896,5,132,235773012
062006362003904,1,1820,458537026
062006362003908,1,111,25118021
062006362003910,58,2,2008
062006362003920,1,500,321693012
062006362003929,19,53,176324012
062006362003930,1,132,81488012
062006362003932,1,305,111416021
062006362003933,4,170,74314012
062006362003934,6,90,7453012
062006362003938,1,303,197743012
062006362003942,1,579,903251454
062006362003949,16,53,207993012
